단어,개수
다국적제약사와,1
선언했는데,1
전,3
불확실성에,1
위기상황에,1
직면한,1
돌아왔다며,2
사실,1
위기는,2
시키고,1
캐치하겠다고,1
추진미국유럽,1
예고,1
회장공동의장이,1
손질에,1
원격의료의약외품,1
사업까지,1
헬스케어,1
기업으로서,1
방침이다서정진,1
신사업에,1
청사진을,3
신사업은,1
원격의료와,1
나뉜다서,1
보강하고자,1
원격의료와,1
많았으며,1
헬스케어에,1
키우겠다고,1
띄웠다서,1
잡혔다,1
원격의료,1
원격의료,2
기초연구가,1
진행됐기,1
연구소도,1
합병회사,2
밝혔다의약외품,1
존슨앤존슨과,1
빅파마도,1
팬데믹,1
가운,1
수술보,1
회용품과,1
미국유럽,1
규모,2
한국에서도,1
천억원,1
의약외품,1
파워와,1
갖췄을뿐더러,1
파워,1
진입하고자,1
경쟁은,1
치열하겠지만,1
사업이기,1
덧붙엿다,1
요약월,1
미뤄진,1
출회전문가,1
펀더멘탈과,1
무관,1
가능,1
형제가,1
복귀에도,1
반영됐던,1
한풀,1
꺾였다는,1
해석이,2
전망된다일,1
급락했으며,1
시분,1
,1
하락한데,1
,1
내리며,2
약보합을,1
,1
,1
내림세를,1
,1
폭락했으며,1
있다강한,1
나왔음에도,1
기술적,1
이어졌다이같은,1
소식에도,1
배경은,2
실망감으로,1
보여진다,1
그룹내,1
추진계획을,1
포함됐다지주사,1
반대로,1
셀트리온스킨큐어가,1
제외됐으나,1
셀트리온헬스케어홀딩스를,1
합병하면서,1
추진은,1
장기화됐다주주들이,1
갖기,1
이달초다,1
의결했다즉,1
기대했던,1
,1
,1
,1
폭등했다하지만,1
행정절차,2
실망감이,1
커졌다이동건,1
전일,1
하락은,1
가속화,1
신규투자,1
본격화를,1
기대한,1
출회에,1
판단했다다만,1
전날의,1
펀더멘탈과,1
직접적인,1
없기,2
때문이다이,2
셀트리온그룹,1
낮아진,2
내다봤다,1
비전에,2
본격화한다셀트리온그룹,1
올는,1
기점이며,1
베그젤마,7
계획이다셀트리온그룹은,1
대표들은,1
사진셀트리온셀트리온은,1
억원,1
상대는,2
셀트리온헬스케어다계약,1
억만원으로,2
에,2
일까지다,2
허쥬시마,1
기자셀트리온이,1
램시마,1
렘시마,1
허쥬마,1
항체의약품에,1
상품공급계약을,1
억만원으로,1
매출액약,1
조억원의,1
다,1
항체의약품램시마,1
램시마,1
공급계약을,1
공시했다계약금액은,1
규모이다계약기간은,1
사내이사공동의장,1
선임돼상장,1
합병대형,1
주도할듯,1
제공셀트리온그룹,1
선임을,2
참여하게,2
그룹,2
부족함이,2
생기면,7
하러,5
현직으로,12
복귀하겠다며,1
정년퇴임,1
세를,1
올해는,2
기회와,2
해라며,1
위기를,1
명예회장통합,1
셀트리온홀딩스통합,1
셀트리온으로,1
정리하겠다는,1
를,1
지연됐지만,1
증권선물위원회가,3
재개됐다,2
월이면,1
금융위원회의,1
행정,4
끝난다,1
말이면,1
것이다라고,1
좋지,5
합병,1
있는,1
복병이,1
말부터,1
백스터인터내셔널의,1
현금은,1
확보돼,1
백스터는,1
상반기에,1
말께,1
행동할,1
시끌벅적,1
확정,3
폭락에,2
서정진사진,1
경영진에,6
항의하며,1
죄송하다며,1
여,1
확정됐다,1
사임한,2
사내이사와,4
열심히,1
일해서,4
극복하겠다고,1
말했다위기,1
주총장에서는,2
폭락으로,1
손해,7
성토가,2
팬데믹대유행이,1
만원을,1
넘으며,1
고점을,1
찍었던,1
폭락했다,1
만원대에,1
상태이다머리에,1
빨간,3
띠를,3
두른,2
책임져야,1
질렀다,1
주주는,10
역성장을,1
사퇴해야,2
기우성,3
주주도,1
주가가,3
정상화될,1
노력해야,1
주총,27
소리치며,1
항의하던,1
퇴장당하기도,2
달래느라,1
진땀을,1
흘렸다,1
요새,1
여러분한테,1
입이,11
열,11
개라도,11
말이,16
여러분을,1
화나게,4
대단히,1
죄송하다고,2
상반기는,2
연말에,5
움직일,4
금융감독원,1
대한,3
끝나지만,1
기다려야,3
복귀연말이나,1
것서정진,1
명예회장,8
년,4
지켜오다가,1
결정됐다,1
직전에,3
등장한,1
아직,1
등기임원으로,8
선임되지,4
명예회장으로서,6
나왔다며,3
주주들의,3
그룹과,6
경영진을,12
대표해서,6
죄송하단,5
드린다고,5
어떻게,2
해서든,5
경영해서,5
보람을,8
느껴야,6
말아야,5
요새,4
숙였다,3
사과에,3
박수를,2
,1
매물을,1
시기이고,2
움직이는,5
연말쯤,2
연말이나,1
하려고,3
영업과,1
한,2
는,1
뛰어다닐,1
조억원,1
제시바이오시밀러,1
기대,1
추진주식,1
고려년여,1
복귀하는,6
회장이사회,1
공동의장은,1
비즈니스에,1
주력한다,2
연결매출이,1
조억원인데,1
년의,1
배에,1
필두로,1
주력제품을,1
안착시키는데,1
글로벌기업,1
제창업에,1
준하는,1
작업에,4
가속,1
페달을,1
밟는다,1
북미시장서,1
조원유플라이마,1
조원배그젤마,1
목표서정진,1
북미,1
진출을,1
절을,1
전후해,2
왔다면서,1
법인에,1
주고,1
이것을,2
달성하자는,1
제시했다고,1
것이다셀트리온,2
베그젤마를,2
앞뒀다셀트리온헬스케어는,1
최고사업책임자로,1
는,1
잔뼈가,1
굵은,1
,1
영업인력,1
영입에,1
셀트리온를,1
넘기며,1
겸직한다,1
주력제품,1
재정비했다는,1
나온다미국은,1
시장이다,1
풀리며,1
대체하기,1
치열할,1
예상된다자가면역질환제,1
조원,1
올렸는데,1
억달러,1
조억원,2
억원인,1
피하주사제로,1
미식품의약국,1
북미에서만,1
만명,1
목표다업계,1
사업,1
구축해온,1
이력을,1
사진제공셀트리온복귀,1
쏘아,1
주식,3
스와핑도,1
고려로이터,1
외신에,1
박스터인터내셔널,2
물밑에서,1
타진,1
박스터,1
확정한,1
없다는,1
내놨지만,1
상당했다는,1
후문이다문제는,1
자금이다,1
무균,1
주사,3
달리는,1
생산이,1
주력이다,1
억만달러약,1
억원를,1
조원이,1
추진하기,1
필요하다셀트리온은,1
괜찮은,1
현금에,1
인수금융,1
대출을,1
인센티브를,1
이니셔티브,1
확보하는데,7
주력한다서,1
주주총회장에서,2
기자들과,9
와,1
관련해,1
상반기는,5
기간으로,1
움직임은,1
것이라면서,4
덧붙였다박스터,2
인수뿐,1
모색하겠다는,1
사진제공셀트리온,1
서정진,1
분위기,3
반전,1
고공행진을,1
만원을,1
넘어서면서,1
최고가를,2
증권가에,1
만원에,1
마치면서,1
,1
,1
,1
만원까지,1
만원에서,1
가,1
것이다연초까지만,1
그룹주들의,1
분위기는,2
억원으로,1
,3
집계되면서다,1
,1
나타났기,1
때문이다하지만,1
반전되기,1
시작했다지난,1
사별,15
가다듬는,4
기대했다증권가에서도,1
월과,1
상황이다서,1
위기와,1
총수는,3
신용,1
결정하겠다고,1
밝혔다위해주,1
부진,6
일회성이다,1
분기에도,1
재현될,2
가능성은,2
유플라이마,1
문제없을,1
불확실성부진한,2
지연이,2
일,1
소식도,3
작용하고,2
명,1
뿔,1
채,1
참석서정진,1
진화에도,1
질의,1
시간,1
이어져셀트리온,1
합병,1
정기주주총회에,3
여명에,1
제약바이오업계,1
최고의,3
핫,1
플레이스는,1
단연,1
만원선을,1
뚫었던,1
만원까지,1
성난,1
장소로,1
몰려들었다,1
사태에,3
경영진,2
사퇴를,1
믿어보자는,1
주주들로,1
갈라져,1
팽팽한,1
기싸움을,1
벌였다일,1
현장에는,1
명에,1
주총에서는,3
결정되는,1
안건이,3
상정돼,1
예년보다,1
몰렸다,2
몰린,1
소요도,1
주주연대와,2
주주연대는,2
총회,2
대립각을,2
세우며,1
갑론을박을,1
벌였다머리띠어깨띠까지,1
소액주주들,1
내,3
돌려내라,1
소액주주연대가,1
참석,4
머리띠와,5
어깨띠를,4
배부하고,1
데일리안,3
기자셀트리온을,1
비판하는,2
져야,1
주총장,5
입구에서부터,1
사퇴,2
문구가,3
나눠주며,1
행동에,2
나섰다이에,1
옹호,1
주주들과,1
비판,1
주주들간,1
일어나기도,1
주주연대가,2
흐린다는,1
이유에서다,1
지켜보던,1
지금,2
아니다보니,1
다들,1
예민해져,1
많고,1
손실금액이,1
소액주주들이,2
많다보니,1
같다고,1
언급했다주총,1
개회,5
시간인,1
시가,1
지나서도,1
명예회장현,2
공동의장이,2
주주,1
달래기에,1
주총에,1
사과의,7
드린다며,1
그래도,1
주주총회는,2
정상적으로,4
협조,1
호소했다이사,1
선임보수,1
한도,3
시끌주주,1
강제,2
퇴장,1
사태도제기,1
상정,1
안건은,8
제기,1
승인의,5
이사,3
선임의,3
보수한도,7
주식매수선택권,2
부여,5
건이다가장,1
제호,1
제호,3
건이었다,1
재선임에,1
년간의,1
경영실패에,1
책임지고,1
사퇴하라고,1
보수에,1
보였다제호,1
안건,6
의결,7
과정에서는,1
부회장과,1
갈등이,3
빚어지기도,1
질의에서,1
대표에,1
경영책임을,1
물어야,1
아니냐며,1
어려워졌기,1
지금까지,1
주주들일부,1
주주이,1
대변하는,1
어폐가,1
최저임금을,3
지지하자,1
욕설을,1
내뱉은,1
의장인,8
질서유지권을,2
발동해,2
주주를,1
퇴장시켰다우여곡절,1
원안대로,4
의결됐다,2
의결에,1
복귀하게,2
의결을,1
마무리하면서,2
사랑이,1
없으면,1
야단도,1
안친다고,1
빠르게,1
안정화시켜서,1
노력,2
밝혔다서정진,1
현장경영,1
은,2
있겠다,1
셀트리온서,1
현장경영,1
개국과,1
챙겼다며,1
앞으로는,1
경영진으로서,3
지휘하며,1
밝혔다매출,1
목표와,1
견해도,1
올해나,1
,1
목표다라고,1
영업까지,1
챙기고자,1
박스터는,1
하나의,3
선택지일,1
연말에는,2
내서,1
이사,1
시간,11
발견서정진,1
술,2
말라,1
당부,1
소동에,3
잠든,1
셀트리온서정진,3
해명했다서,1
질의응답,4
가졌다서,1
차남이,1
보다,1
말했다인천,1
연수경찰서,8
시께,5
신고자는,4
가족으로,4
알려졌다당시,3
가족은,6
연락이,4
신변,4
위험이,4
우려된다고,3
신고했으며,3
관할인,4
연수서로,4
이첩했다서,2
접수,13
시간여만인,6
시분께,5
소래포구,9
위험하다고,4
정서적,11
희망했고,3
이송됐다경찰은,1
특이사항이,4
종결,8
처리했다한편,1
과장으로,3
입사해,3
미등기임원,3
이사직에,3
올랐으며,3
후인,3
사내이사를,5
의장도,5
역임,6
인하대,5
박사,5
출신인,4
운영지원업무도,4
소요에,1
긴급,1
등판주식,1
주도,1
팔아마음,1
이해본안,1
진행마음,1
무제한,4
연장,1
반발이,2
이어지자,1
나섰다일,1
송도컨벤시아,2
층,4
주총은,3
소동으로,1
원활한,2
어려웠다제호,1
의안인,2
건에,2
주장이,1
엇갈렸기,1
급기야,1
퇴장시키기도,1
마이크를,2
들고,1
달래기에,4
나섰다서,3
제가,1
떠나,1
안다며,1
그에,1
모니터링을,1
몸싸움하는,1
보려고,1
참담한,1
들었다면서,1
우리가,1
안좋은,1
대표에게,1
진행부터는,1
질서유지권을,1
행사하지,1
말자고도,1
덧붙였다논란을,1
재선임,3
오른팔이라며,1
최저임금을,1
받으면서도,1
일했다고,1
두둔했다,1
의안에서,1
의장과의,1
취임에,1
벌써,1
예순일곱이라며,1
년,1
활동하면,1
세인데,1
오너리스크이기,1
위해서,2
취임을,1
선택했다고,1
해명했다일부,1
제안한,1
자사주,1
소각에,1
강경한,1
자사주를,1
부양하는,1
망하는,1
지름길이라며,1
주가는,1
통해서만,1
올라야,1
소각보다는,1
있다가,1
자금으로,2
낫다고,1
판단했다고,2
부채가,1
억이지만,1
갚기,1
파는,2
없었다며,1
나도,2
주주이기,1
마음을,2
이해한다고,1
본안,1
주주와의,2
질의응답도,1
총회가,3
정오까지였지만,1
풀리시고,1
해결되실,1
연장하겠다고,1
부회장,2
최저임금,1
김형기,1
부회장보다,3
낮게,1
사진셀트리온서정진,1
무보수,1
경영,1
상징적으로,1
받겠다고,3
답했다서,1
소액주주연대,3
기우성,2
성과급을,5
받지,5
말라,1
고통,2
감내를,1
해달라고,1
명예회장도,1
무보수,2
어떻냐고,1
제안하자,1
무보수,1
괜찮은데,1
못파는,1
주식만,1
배당을,1
않느냐고,1
지적하자,1
주주분들의,1
말씀은,1
이해하지만,1
임원들,1
급여가,2
많지는,1
말한대로,1
상징적으로,1
보수,5
의미한,1
책정과,1
달라고,3
했더니,1
최저임금이라고,1
김형기,1
밝혔다기,1
만원,1
도달할,1
받겠단,1
책임경영,1
자세가,1
필요하다는,1
주주들의,7
고통분담,1
동의하며,1
최저임금,1
수령에,1
수용하겠다고,1
최저임금만,1
근무했다,2
기,2
최저임금이,1
책임져서,1
위안이,1
하더라며,1
오른팔로,1
일했다,1
박수,1
보내달라고,1
고마움을,1
표했다,1
회사에,2
닥치면,3
지휘해야,1
선임돼,2
복귀한다,14
사과하고,1
행정절차를,1
마무리하겠다고,1
참석했다서,1
경제위기가,4
내년까지는,2
본다며,1
경력이,2
지휘를,3
셀트리온뿐만,2
지금까지는,1
격려,2
갔지만,3
지휘하기,1
말했다주주들에게,1
뜻,1
나도,3
주주로서,4
이해가,2
간다며,1
정오를,2
넘어서까지,1
불만사항과,2
질의를,2
금융감독원,1
끝난다며,3
강조했다미국,1
현금,1
여유가,5
말했다끝으로,2
주를,1
무시하면,1
어려워하면,1
백배사죄하면서라도,1
위로해드려야,1
이해를,2
구해야,1
덧붙였다한편,2
복귀고성,1
가득,1
주총서정진,1
사과했다일,1
나왔다며,4
드린다고,3
주총을,4
사진셀트리온,1
캡처서,1
창사,4
팔아본,5
경영권,3
아니며,1
경영해,1
셀트리온셀트리온헬스케어셀트리온제약의,2
년이다앞서,1
이끌다,2
활동해,1
왔다다만,1
시작되기,4
주주총회장은,2
화가,4
고성으로,3
가득했고,1
경영진,2
사퇴를,1
외치기도,1
중단되기도,2
했다한편,1
재선임됐다,3
년이다,3
정기주주총회,6
개최서정진기우성,1
승인위기가,1
기회사,1
추진램시마,1
전개,1
있다뉴스서울뉴스,2
복귀하고,1
축으로,2
돌파에,1
나선다셀트리온은,1
개최하고,2
승인과,9
서정진,3
인,4
주식매수선택권,4
승인했다이날,1
년여,3
신약기업,1
예정이다서,1
아무래도,3
불확실성,10
높아진,3
나라도,6
합치는,7
같아,4
돌아왔다며,2
다하겠다라고,1
말했다자사주,1
소각,1
올리자는,1
주주서,1
사용이날,1
사퇴를,4
토해냈다,1
이사보수한도,1
부당하다며,1
소각해,1
올리라고도,1
주장했다이에,1
현,2
맞다면서,1
하지만,1
상황으로,2
소각하는,1
생각으로,2
맞교환을,1
밝혔다셀트리온과,1
셀트리온제약,4
변함없다면서,2
금융감독원에,2
설명했다임원들에게,1
성과금에,1
불만에,1
최저,1
임금이고,1
급여보다도,1
일한다며,2
충분한,1
전세계에서도,1
인정해달라고,2
말했다공동,1
년만,1
일하면,1
세가,1
리스크라면서,1
년부터,1
년보다,1
설정했다바이오시밀러,1
캐시카우,1
포문신약,1
마련셀트리온은,1
병행해,1
현금창출원으로,1
기여하고,1
로,2
다서,1
램시마와,2
엔데믹,1
활성화와,1
순항하는,1
나선다면서,1
셀트리온셀트리온헬스케어,1
소속를,1
조,2
했다특히,1
개량신약이다,1
심사허가를,1
정맥주사,1
링거가,1
달러여도,1
간호사가,1
놔주면,1
달러나,1
들어간다면서,1
가능하기,1
덤핑,1
경쟁으로,1
손실도,1
했다또,1
내재화할,1
항체약물접합,1
입으로,1
개발한다고,1
년,1
준비해,1
부채보다,1
배에,1
달한다면서,1
내,1
연말부터,2
활동도,1
나서설,1
개최강성,1
불만으로,1
의사진행,1
차질서정진,1
달래기주가,1
낮아,1
죄송하다월,1
추진는,1
예정실적과,1
격차,1
줄이도록,1
것올해,1
제시,1
상정됐다,5
뜨거웠다,1
여명이,1
사퇴,2
두르고,1
소액,4
주주연대,2
높이기도,1
빚으면서,1
개회가,2
분가량,2
소란스러운,1
강성,3
높이면서,1
의결이,1
빚었다,1
의사진행을,1
방해하면서,1
발언권을,1
얻은,1
발언권,1
주주끼리,2
벌어지기도,1
감정이,1
격해진,1
달랬다,4
주주총회는,2
다투거나,1
싸우는,2
자리가,4
아니다며,1
주가,1
대해,1
대표해,8
죄송하다는,4
소란이,1
벌어져,1
험악해졌을,1
요청하면서,1
촉구했다,1
여느,1
소란스럽고,1
험악한,1
분위기로,1
열렸다고,1
회장주총이,1
옆,1
사무실에,1
잠깐,2
들렸다고,1
세인,1
돌아,1
태풍이,1
시대가,2
위기와,1
간략하게,1
합병은,1
금융감독위원회,1
원한다면,1
시기는,1
당연한,3
경영전략,2
하나라며,1
상반기에는,1
관찰을,2
연말이,2
않을까,2
싶다고,1
설명했다경영,1
해외에서,1
고생하고,1
격려하기,1
다녀왔다며,1
경영,1
출근은,1
때처럼,1
해외미국,1
방문에,1
할애하고,1
달의,1
분의는,1
회장기자들과,1
행사장으로,1
주총이,7
소회와,1
방향성을,1
상태지만,1
중이고,1
나고,1
상황이기,2
반영되는,1
시기가,1
달랬다세부,1
론칭하고,1
카드를,1
꺼낼,1
것다른,1
자제하고,1
인하하는,1
전개한다는,1
계획이라며,1
코드를,2
따서,1
경쟁시킬,1
기존,1
제품과,1
생성해,1
경쟁하지,1
회장올해,1
목표에,1
상태이고,1
가격경쟁력이,1
다하겠다고,1
했다주총,1
기자간담회와,1
해외로,1
나가,1
기업설명회를,1
펼친다는,1
주가를,1
결국에는,1
대표이사부회장,1
최종일기자,1
경영에서,6
떼고,2
중임이라,2
임원들의,1
성과급,4
잔치를,2
불만도,1
터져나왔다,1
번째,1
안건인,1
다루는,1
비판했다,1
작년,1
형편없이,2
하락했다며,1
늘었지만,1
역성장,1
마이너스,2
그런데도,1
제작년에,1
성과급은,3
지급했는데,1
배고파서,1
눈물,1
흘리는,1
와중에,1
과하게,1
지급했다고,1
대표이사는,1
성과급,1
잔치에,1
오해하지,1
말라며,1
저는,1
임원들에겐,1
경쟁사의,1
급여수준을,1
넘지,1
선에서,1
지급하고,1
성과급을,1
삼성바이로직스와,1
바이오사이언스와,1
비교하는데,1
간격이,1
심하면,1
구성원의,1
이직이,1
생긴다고,1
주주분들께서,1
궁금해하시면,1
테이블에,1
올려놓고,1
폭락할,1
요청했지만,1
얼굴도,1
내밀지,1
않았다며,1
경영진과,1
못했다고,1
소방수,1
명분을,1
사퇴하고,1
주총장에는,1
가득했다,2
사퇴가,1
붉은,2
머리띠를,2
두르기도,2
중간중간,2
멈추기도,1
창사,1
차례도,1
요약실종신고,1
시간만에,1
,3
불러,1
기자실에,2
들러,1
실종사건에,1
주주총회인천,1
송도컨센시아에서,1
보다며,1
서울마포경찰서에,1
연락이,2
실종신고를,3
접수했다,1
이첩했고,4
여,1
위험하다고,4
경찰은,9
공동대응,5
요청을,5
호텔에,2
구급대에,2
이송됐다,6
처리한,1
알려졌다,1
불확실한,1
내년까지,1
영업현장,1
가야셀트리온,1
많아,1
노력,1
기회,1
것사,1
의지,1
변함없어,1
끝나,1
기자,2
태풍이,1
불때,1
것이다,1
사진은,1
취재진과,2
전한,1
총수들은,2
영업현장으로,1
가야하고,1
내야할,1
위기는,1
오는데,1
극복해야,1
빚이,2
결정해,1
은퇴를,1
했냐는,1
질문이,1
임원의,1
정년은,1
세고,1
물러갔던,1
여건,1
가야하고,1
벌어와야,1
힘과,1
돌아오게,1
뛰어들었느냐는,1
현금에,1
전략이라며,1
관찰의,1
시기고,1
쯤이,1
추진의,1
묻는,3
리포트를,3
내면,1
행정적,3
끝이,1
난다며,1
생각에는,1
지는,2
대주주의,2
주를,1
무시될,1
것이라면서,3
주주들은,1
권리가,2
그룹총수가,1
불편하다고,2
주주총회장에,1
복귀사,1
변함없어월,1
금감원,1
리포트,2
가능인수합병,1
기자사,1
한다인천,1
정기주주총회가,2
선임될,3
세가,2
정년이고,1
샐러리맨,1
출신으로서,1
돌아왔다고,2
안정되면,1
진행된다고,1
금융감독원에,1
제출하면,1
끝난다며,1
그다음에는,1
금감원의,1
감리를,1
의미한다그러면서,1
언제,1
헬스케어기업,1
달러조억여원로,1
전망이다이와,1
셀트리온그룹처럼,1
현금의,1
하나다라며,1
예상한다며,1
교환,1
,1
이상한,1
주주들은,1
얘기할,1
분들을,1
이해시키고,1
사과해야,1
의무가,1
사람이다고,1
창사이래,1
형식적으로,3
가본,2
질의에,1
응답을,1
하며,1
시까지,1
했다지난,1
매체가,1
사건에,1
신경안정제와,1
잠이,1
휴대폰,1
방전되는,1
바람에,1
헤프닝이다고,1
송도김유림,1
복귀그룹,2
주주들께,2
죄송하다주총,1
시작전,1
고성일부,1
강력히,5
요청했다며,2
통과된,1
안건들을,1
의결하면서,1
등장해,5
아니라고,2
어떻게,2
사퇴가,1
여기는,1
주주들끼리,4
협조해,2
당부했다,1
매출과,1
떨어졌다며,1
그런데도,1
재작년에,1
줬다고,1
터뜨렸다,1
설명하기도,2
위기와,2
신용,2
열심히,2
결정하겠다고,2
상반기는,2
금융감독원,2
인천연합뉴스,2
요약셀트리온,2
이사선임,1
컴백사,1
만이다셀트리온은,1
주총에서도,3
선임할,4
서진석씨,3
서준석씨와,3
경제의,13
이뤄졌다복귀,2
인수,3
사과인사,2
올라왔다며,2
경영진들에,3
요즘,2
어려워,2
개라도,2
여러분에,2
여러분들을,1
해드려,6
죄송하다,4
돌아와,2
오늘,4
무시하지,3
답변하지,2
솔직하게,2
말하겠다,2
늦게까지라도,2
답변하겠다고,2
위탁생산처를,2
돌았고,2
동남아도,2
직항망도,2
정비하고,5
컨벤시아서,1
개최기우성,1
불구사내이사,1
개최했다뉴스서울뉴스,1
복귀했다셀트리온은,1
기우성,1
이혁재,3
선임안을,2
보수한도와,1
질의응답으로,1
중이다이날,2
찬성은,2
,1
를,1
출석주주의,1
과반,1
참여하고,1
의결권,1
발행주식,1
분의을,1
결과다단,1
엇갈리고,1
보고에,1
연결재무제표,1
억원을,1
별도재무제표,1
조억원,1
억원이다,1
작년,3
늘었지만,1
했다면서,1
그럼에도,1
증가했다고,2
했다기우성,1
의장현,1
대표이사은,1
결의한대로,1
급여를,2
않았다면서,1
이사의,1
급여는,1
경영목표,1
성과보수위원회에서,1
하도록,1
성과보수는,1
말했다기,1
분담,1
약속하고,1
무보수로,1
인의,1
한도액은,1
년과,1
억원이다이날,1
총수로서,1
경영하겠다고,2
죄송하다,1
인천연합뉴스,1
갈채를,1
의결한,1
검토연말께,1
컨벤시아,4
정기주주총회장에서,2
협의가,1
신변과,1
가족들로부터,1
됐으나,1
인근에서,1
신경안정제를,1
해프닝이,1
있었다면서,1
다니지,1
당부했다고,1
하락엔,1
총수,1
있어야복귀,1
기,1
기자데일리안,2
파도,1
법이라고,1
각오를,1
다졌다일,1
질의응답에,2
명예회장으로서,1
대응하고,1
회사에,1
초부터,1
개국,2
정비를,1
지금까지는,1
총수로서,1
나가고자,1
덧붙였다주주들에,1
사과,5
의사도,1
간다며,1
시,1
시까지도,1
받고자,1
말헀다,1
명예회장주가,1
입,1
열개라도,1
없어회장,1
정기주주총회는,1
고성이,1
항의했고,1
퇴진과,1
언쟁도,1
회사를,1
손해를,2
않아야,2
불만,2
힘들게,5
마찬가지인,1
주주로,1
판,3
자녀와,1
아내,2
이해하고,1
업무점검을,3
둘러보며,1
생산능력동남아시아,1
점검했다며,1
일,1
격려했다고,1
주주총회,5
결의,2
전하러,1
명이,1
주총장은,1
싸우고,1
공동의,1
월일,1
기록했지만,2
만원대에서,1
상속세,1
때문에향후,1
국영기업,1
여러분들을,1
가슴이,3
아프고,1
죄송하다고,1
유튜브,1
나오자,1
사과하며,1
센터에서,2
만났다서,1
결의된,2
아니기,1
인사드리러,1
주총은,1
설명하려는,1
자리다,1
여기는,1
주주분들이,1
아침마다,1
일어나면,1
비서를,1
사항과,1
주주분들의,1
듣는다며,1
회사라는,1
다니며,1
여러분들,1
여러분들을,2
아프다,2
나면,2
월이,2
시작되자마자,1
개국에,1
가,2
점검을,1
격려하러,2
갔고,1
질책을,1
주겠다고,2
강조했다그러면서,2
저도,3
여러분과,3
주주다,1
아이들과,1
주식도,1
자회사도,2
우려대로,2
최대주주로,2
죽으면,3
국영기업이,2
여러분들의,2
대표해,1
말씀드린다,1
들어왔으니,1
너그럽게,1
달라,1
의결한다발로,1
참석,1
주주분들께,1
드리러,1
왔다면서,2
잘해서,1
보게,1
생각처럼,1
뛰어서,2
되자마자,1
사이트도,1
돌면서,1
점검했고,1
전에도,1
지금까진,1
갔지만,1
주주라며,1
아내나,1
아이들,1
이름으론,1
말씀드린다고,1
청취하겠다는,1
뜻도,2
드러냈다,1
질문하실,1
형식적인,1
답변,1
답할,1
무제한으로,1
질문받고,1
답변하겠다고,1
지금처럼,1
시기에는,1
너그럽게,1
봐주시고,1
도와달라,1
감사하다며,1
맺었다서,1
사내이사가,1
발언했다,1
개사,1
예정대로,2
맡게,1
뜻으로,1
피켓,1
시위를,1
벌였다,1
내지르며,1
항의하기도,1
인천뉴시스사진공동취재단,1
월일,2
신종,2
,1
서울뉴시스송연주,2
지탄으로,1
주총의,1
조차,1
어려워지자,1
연단에,1
현재는,1
아니라서,1
인사하러,1
췌장암,1
돌아가신,1
사모님,1
들었는데,1
유가족과,1
고인에,1
죄송하고,1
불확실성이,1
하겠다며,1
왔다며,1
지금까진,1
격려차,1
우리,1
돼있다며,1
자식들,1
행사한,1
예정이다,1
주총장으로,1
들어가고,1
사진지용준,1
잠깐만,1
해주세요,1
주주총회주총,1
장내를,1
다독였다,1
의미로,1
머리에,1
둘렀고,1
사퇴,1
문구를,1
새긴,1
마스크를,1
착용했다서,1
주주들에게,1
올라왔다며,1
화나게,1
만들어서,1
다해서,1
후배들뿐,1
뛰겠다고,1
오후,1
늦게까지,1
답하겠다고,1
덧붙였다서,1
아직은,1
결의될,1
올라선다고,1
주주다며,1
명의는,1
국영기업이다,1
경영권은,1
피력했다그러면서,1
주총이,1
부탁드린다며,1
주주간,2
갈등에,2
나서서정진,1
주총은,1
아냐경영진,1
사과도,1
입,1
없어,1
정기주주총회장,1
로비에서,1
셀트엔돌핀,3
나눠주고,1
핫이슈로,1
시작도,1
갈등으로,1
늦어지는,1
사태가,2
주주들간,1
다툼에,1
했다일,1
열리기로,1
십,1
여분가량,1
지연됐다,3
그렇지,1
이어지면서다셀트리온,1
주주연대인,1
입구에서,1
사퇴,1
기우성,1
어깨띠,1
마스크,1
나눠줬다주주연대,1
임원진은,1
떨어졌기,1
사퇴와,1
반대하고자,1
주총장에서,1
정당한,1
말했다이,1
임원진과,1
말다툼이,1
안에서도,1
이어졌다이에,1
무대에,1
진압에,1
의안,1
사람으로서,1
성심성의껏,1
답하겠다고,1
말했다주가,1
주주분들에게,1
총회에,1
드리기,1
위해서다라며,1
입이,1
말씀,1
등판에도,1
성토는,1
대표까지,1
올라와,1
전하고,1
분이,1
넘어서야,2
개회됐다,1
단순실종으로,4
종결년,1
이사셀트리온사합병여부,1
이사,1
실종됐다가,3
사건은,3
종결됐지만,2
확인됐다일,2
서이사의,2
우려된다고,1
이첩했다서준석,1
시,4
분,1
범죄,1
신원이,4
확인돼,4
처리했다고,1
밝혔다서준석,1
이사와,2
수석부사장제품개발부문장,2
단순화되고,2
지배력이,2
강화되면,2
맡았던,2
의장직을,2
물려받은,2
승계가,2
장남으로,2
굳혀졌다는,2
연합뉴스다시,1
서정진셀트리온그룹의,1
복귀한다셀트리온그룹은,4
예정이다이사회,1
된다서,2
쏠릴,2
표명불확실성,1
합쳐야,1
명예회장뉴스,1
주총장을,1
표명했다서,1
사과드린다라고,1
시설,2
확인했다면서,1
명예회장으로서,1
했다면,1
후는,1
오직,1
부인과,1
없는데다,1
의결한다,1
앵커서정진,2
복귀합니다이번,1
구체화,1
전망인데요,1
관심입니다자세한,1
취재기자,1
알아보겠습니다,1
고영욱,1
기자기자네,1
송도컨벤시아에,1
있습니다주총,1
시작까지,1
